name,latitude,longitude,dates,attenders,sites,pictures
Langevag,62.437,6.19,31/08/2023;01/09/2023,Papa,Bomlo,Bomlo_23
York,53.959,-1.0815,24/12/2025;28/12/2025,Papa;Mama;Lesha;Oksana,Clifford's Tower;Shambles;York City Walls;Minster Yard;York Minster; JORVIK Viking Centre;National Railway Museum,York_25
Hull,53.7676,-0.3274,27/12/2025;27/12/2025,Papa;Mama;Lesha;Oksana,The Deep (oceanarium);Hull Minster,Hull_25
Leeds,53.8008,-1.5491,27/12/2025;27/12/2025,Papa;Mama;Lesha;Oksana,Leeds Cathedral;Leeds Corn Exchange;Leeds Minster;Thackray Museum of Medicine,Leeds_25
Wrexham,53.046,-2.992,11/10/2025;11/10/2025,Papa;Mama;Lesha;Oksana,St Giles Church;Miners Monument;Racecourse Ground(stadium),Wrexham_25
Pontcysyllte Aqueduct,52.9706,-3.0888,12/10/2025;12/10/2025,Papa;Mama;Lesha;Oksana,Pontcysyllte Aqueduct,Pontcysyllte_25
Betws-y-Coed,53.0929,-3.8015,12/10/2025;12/10/2025,Papa;Mama;Lesha;Oksana,Zip World Betws-y-Coed;Conwy Valley Railway Museum;Swallow falls,Betws-y-Coed_25
Caernarfon,53.1398,-4.2739,13/10/2025;16/10/2025,Papa;Mama;Lesha;Oksana,,Caernarfon_25
Holy Island,53.307,-4.6321,13/10/2025;13/10/2025,Papa;Mama;Lesha;Oksana,Holyhead;St Cybi’s Church;Holyhead Breakwater;Breakwater Country Park;North Stack Lighthouse;South Stack Lighthouse,HolyIsland_25
Llanfairpwllgwyngyll,53.2215,-4.2094,13/10/2025;13/10/2025,Papa;Mama;Lesha;Oksana,Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch Station,Llanfairpwllgwyngyll_25
Bethesda,53.181,-4.062,14/10/2025;14/10/2025,Papa;Lesha,Bethesda town;Zip World Penrhyn Quarry,Bethesda_25
Bangor,53.228,-4.129,14/10/2025;14/10/2025,Papa;Mama;Lesha;Oksana,Menai Bridge,Bangor_25
Snowdon,53.0685,-4.076,15/10/2025;15/10/2025,Papa;Mama;Lesha;Oksana,Minors' track;Snowdon summit,Snowdon_25
Llanberis,53.119,-4.127,15/10/2025;15/10/2025,Papa;Mama;Lesha;Oksana,Ceunant Mawr waterfall;Llyn Padarn,Llanberis_25
Rhaeadr Fawr,53.249,-4.031,16/10/2025;16/10/2025,Papa;Mama;Lesha;Oksana,Rhaeadr Fawr waterfall,RhaeadrFawr_25
Penrhyn Castle,53.2275,-4.0946,16/10/2025;16/10/2025,Papa;Mama;Lesha;Oksana,Penrhyn Castle & Garden,PenrhynCastle_25
Conwy,53.2808,-3.827,17/10/2025;17/10/2025,Papa;Mama;Lesha;Oksana,The Smallest House In Great Britain;St Mary’s Church;Conwy Town Walls;Conwy Castle;Conwy Suspension Bridge;,Conwy_25
Llandudno,53.3241,-3.8276,17/10/2025;17/10/2025,Papa;Mama;Lesha;Oksana,West Shore Beach;Great Orme;Llandudno Promenade;Llandudno Pier,Llandudno_25
Blackpool,53.8175,-3.0357,18/10/2025;18/10/2025,Papa;Mama;Lesha;Oksana,Blackpool Pleasure Beach;The Blackpool Tower,Blackpool_25
